GENES,TS_0_0,TS_4_0,TS_6_0,TS_3_0,TS_7_0,TS_2_0,TS_8_0,TS_1_0,TS_9_0,TS_5_0,TS_1_1,TS_8_1,TS_2_1,TS_0_1,TS_4_1,TS_6_1,TS_9_1,TS_5_1,TS_7_1,TS_3_1,TS_2_2,TS_7_2,TS_1_2,TS_0_2,TS_3_2,TS_5_2,TS_9_2,TS_4_2,TS_6_2,TS_8_2,TS_0_3,TS_4_3,TS_3_3,TS_7_3,TS_6_3,TS_8_3,TS_2_3,TS_5_3,TS_9_3,TS_1_3,TS_8_4,TS_0_4,TS_4_4,TS_1_4,TS_5_4,TS_2_4,TS_7_4,TS_3_4,TS_9_4,TS_6_4,TS_3_5,TS_9_5,TS_6_5,TS_4_5,TS_7_5,TS_8_5,TS_1_5,TS_5_5,TS_2_5,TS_0_5,TS_1_6,TS_4_6,TS_9_6,TS_8_6,TS_2_6,TS_0_6,TS_5_6,TS_6_6,TS_7_6,TS_3_6,TS_9_7,TS_6_7,TS_7_7,TS_3_7,TS_5_7,TS_0_7,TS_2_7,TS_4_7,TS_1_7,TS_8_7,TS_5_8,TS_4_8,TS_9_8,TS_6_8,TS_0_8,TS_3_8,TS_1_8,TS_7_8,TS_2_8,TS_8_8,TS_5_9,TS_9_9,TS_8_9,TS_1_9,TS_4_9,TS_7_9,TS_0_9,TS_6_9,TS_3_9,TS_2_9,TS_5_10,TS_6_10,TS_8_10,TS_7_10,TS_9_10,TS_0_10,TS_1_10,TS_2_10,TS_3_10,TS_4_10,TS_1_11,TS_2_11,TS_9_11,TS_3_11,TS_5_11,TS_6_11,TS_4_11,TS_7_11,TS_0_11,TS_8_11,TS_6_12,TS_1_12,TS_9_12,TS_3_12,TS_7_12,TS_8_12,TS_2_12,TS_0_12,TS_4_12,TS_5_12,TS_8_13,TS_4_13,TS_7_13,TS_9_13,TS_6_13,TS_0_13,TS_2_13,TS_5_13,TS_3_13,TS_1_13,TS_0_14,TS_2_14,TS_8_14,TS_4_14,TS_3_14,TS_7_14,TS_1_14,TS_9_14,TS_5_14,TS_6_14,TS_0_15,TS_1_15,TS_8_15,TS_7_15,TS_4_15,TS_2_15,TS_6_15,TS_5_15,TS_3_15,TS_9_15,TS_8_16,TS_9_16,TS_0_16,TS_7_16,TS_4_16,TS_3_16,TS_5_16,TS_2_16,TS_1_16,TS_6_16,TS_3_17,TS_8_17,TS_0_17,TS_6_17,TS_7_17,TS_4_17,TS_2_17,TS_9_17,TS_1_17,TS_5_17,TS_0_18,TS_8_18,TS_4_18,TS_9_18,TS_3_18,TS_1_18,TS_7_18,TS_6_18,TS_2_18,TS_5_18,TS_5_19,TS_0_19,TS_8_19,TS_9_19,TS_2_19,TS_7_19,TS_3_19,TS_6_19,TS_1_19,TS_4_19,TS_4_20,TS_7_20,TS_6_20,TS_5_20,TS_3_20,TS_2_20,TS_1_20,TS_0_20,TS_8_20,TS_9_20
G11,0.719802,0.6726491,0.6998474,0.699895,0.7028509,0.6917108,0.7625709,0.7655303,0.6435452,0.7457232,0.7214495,0.6889389,0.7729115,0.6749018,0.7153886,0.8068748,0.544677,0.6465956,0.7968336,0.7071592,0.7365028,0.5833502,0.6257371,0.6479419,0.5940464,0.6070177,0.2923655,0.570274,0.8020001,0.6679011,0.6605424,0.7235309,0.6729769,0.8807254,0.7885264,0.7153972,0.6916951,0.6651313,0.203482,0.642428,0.6585504,0.6737127,0.6017242,0.7940052,0.6192078,0.6635587,0.7141405,0.6647788,0.1978206,0.7396931,0.7133151,0.1228318,0.7196602,0.5893888,0.6521209,0.6404441,0.7142595,0.6192884,0.7127191,0.7513224,0.6774085,0.6704403,0.1740025,0.6569415,0.661683,0.6358286,0.7968069,0.7047222,0.7603257,0.5481283,0.1445238,0.6825255,0.5682805,0.740638,0.7925559,1.0,0.5840296,0.6710563,0.6146113,0.5387669,0.6333958,0.6897521,0.1425218,0.6603378,0.8426586,0.7589922,0.7658737,0.7743095,0.6818227,0.6316599,0.7395919,0.1437087,0.6828785,0.7005422,0.710878,0.66961,0.6878049,0.6266223,0.791209,0.632509,0.6731587,0.8460192,0.5128063,0.770867,0.1692321,0.757967,0.7906591,0.7488671,0.7465494,0.7211423,0.6595788,0.6733668,0.4330764,0.662411,0.6157646,0.7418853,0.6541967,0.7392164,0.7257965,0.7008126,0.733126,0.6579346,0.5665704,0.6308356,0.7019568,0.6984611,0.6173533,0.6959302,0.6879892,0.7681035,0.7133689,0.6686387,0.8768563,0.6232756,0.535621,0.5806063,0.7215872,0.6875084,0.5679055,0.6918418,0.7552092,0.655786,0.6342714,0.6175663,0.6610775,0.7608107,0.6583499,0.636297,0.6543022,0.655491,0.7562857,0.73885,0.7150845,0.6480578,0.7648066,0.7772694,0.5922232,0.6729482,0.7310389,0.5812085,0.6986202,0.680295,0.6509707,0.6630223,0.7042439,0.6938944,0.6047127,0.6395788,0.6598189,0.7063515,0.7581426,0.7055296,0.6142798,0.7135918,0.6586748,0.7217048,0.783062,0.6976707,0.7532929,0.688773,0.6911081,0.5614526,0.6929676,0.8024502,0.7262389,0.7344044,0.6915845,0.7958298,0.6210779,0.7164031,0.7639837,0.8442898,0.6352783,0.7285231,0.7011568,0.7531175,0.7511582,0.7131481,0.6526925,0.6799179,0.8538704,0.7040276,0.6978685,0.7325489,0.785622,0.6681306,0.6792589,0.7217895,0.7557739,0.7711951
G12,0.4055155,0.4749699,0.3817593,0.4404026,0.5465121,0.4440422,0.5004541,0.4586251,0.4160288,0.4437059,0.512857,0.4221667,0.5512243,0.5986793,0.4566402,0.5016557,0.3435562,0.3429394,0.5174059,0.4886525,0.6163523,0.5794562,0.4609735,0.5931011,0.5166464,0.3725314,0.4098551,0.3807397,0.6966508,0.4449299,0.7343102,0.4558787,0.4329135,0.47641,0.6875035,0.3356436,0.5701216,0.2414634,0.3231698,0.4955873,0.4587518,0.6262608,0.5783951,0.4755348,0.2345236,0.5000948,0.5324447,0.5017321,0.4338513,0.4974169,0.5103627,0.3632151,0.5628107,0.4605561,0.4840825,0.3735801,0.455731,0.2744569,0.5549077,0.6176151,0.3688845,0.4354099,0.4735189,0.4998754,0.4421529,0.6360221,0.2480663,0.5280929,0.5138226,0.4194205,0.3784352,0.7717252,0.6063625,0.4357201,0.2916272,0.6636289,0.3912242,0.4839248,0.4934996,0.4113887,0.2918687,0.5248503,0.2788367,0.6981452,0.5645521,0.3399291,0.4813604,0.6122777,0.4633335,0.382141,0.2860598,0.2313368,0.3210866,0.5011214,0.44588,0.6173338,0.7200326,0.4957514,0.5029751,0.4639488,0.246763,0.4040317,0.3147433,0.5555804,0.2271157,0.5925293,0.4846116,0.541642,0.3413005,0.4970578,0.5439732,0.1905205,0.2446941,0.4483145,0.2558761,0.5449555,0.4207778,0.4740159,0.4363146,0.4239169,0.3838075,0.4740044,0.2919724,0.4052713,0.3618006,0.352536,0.209466,0.4401586,0.4012037,0.4267517,0.3255164,0.4336516,0.4338901,0.2585822,0.4298895,0.397763,0.3121904,0.381596,0.4480481,0.5192501,0.5274358,0.4078494,0.392962,0.4270329,0.4512888,0.4610854,0.3258974,0.2663318,0.3725,0.4473093,0.431049,0.3953902,0.4353984,0.4883316,0.3882855,0.4960935,0.4596176,0.4680294,0.4725991,0.3036336,0.3696397,0.368052,0.4679386,0.5138701,0.444457,0.3622586,0.3910435,0.4095002,0.5459599,0.5003884,0.3674453,0.3748263,0.5795216,0.474153,0.4367742,0.3880187,0.3194638,0.5466952,0.470358,0.4510793,0.3642,0.3573138,0.3546244,0.3300258,0.3346721,0.3956576,0.4963345,0.3933998,0.3851237,0.4369636,0.408976,0.39313,0.4088809,0.4319808,0.3800404,0.5818047,0.3264078,0.415006,0.4294189,0.4467767,0.3487711,0.3892869,0.392489,0.537421,0.4168542,0.3490668,0.4053677,0.4242156,0.5500515,0.3189907
G13,0.6385184,0.6591146,0.6721411,0.6012483,0.603558,0.6933977,0.7257509,0.6657434,0.5721617,0.6645392,0.2991485,0.6076147,0.512531,0.4851095,0.8729971,0.7728874,0.5068568,0.6340418,0.5686941,0.6156853,0.7269895,0.8682331,0.2931465,0.3925943,0.6499468,0.5928476,0.3425455,0.6236386,0.5637304,0.6531208,0.4384627,0.5970139,0.7252069,0.7035559,0.6435501,0.7343241,0.8111871,0.6766686,0.4646014,0.1781408,0.7067011,0.3788436,0.7455997,0.2059966,0.6576966,0.7009642,0.7034619,0.6663619,0.4532966,0.6293606,0.6615383,0.347549,0.8134193,0.7362646,0.700315,0.7712311,0.1735105,0.6348951,0.7277898,0.4364762,0.1538186,0.6592327,0.310405,0.8340773,0.686056,0.3759125,0.6021274,0.7133392,0.5859516,0.6967664,0.3303373,0.7254735,0.6731498,0.7206478,0.6977376,0.4371937,0.7136569,0.7331363,0.1591411,0.7077684,0.6599575,0.6257545,0.4147037,0.5492162,0.453411,0.630563,0.2447467,0.6280536,0.6692097,0.6913853,0.6920067,0.4799408,0.5680588,0.1213851,0.72395,0.7860111,0.4629624,0.5945362,0.6848382,0.8927654,0.6911754,0.7464817,0.6486172,0.7287378,0.4378503,0.4959126,0.2161397,0.7077014,0.825252,0.7799418,0.475558,0.887249,0.6425443,0.6381074,0.5448575,0.6513147,0.7152708,0.7207479,0.5865051,0.7482425,0.6309997,0.5595515,0.7668954,0.6235843,0.6642389,0.7827022,0.8023004,0.636134,0.6554794,0.5907231,0.6878749,0.742645,0.7119799,0.7316364,0.6605564,0.6979708,0.6520003,0.7175381,0.7149789,0.6344143,0.7183571,0.7137966,0.599602,0.7251011,0.6712911,0.7290994,0.7753763,0.6781988,0.6301344,0.7424649,0.7845424,0.636061,0.5646353,0.6216551,0.7347417,0.5745425,0.5906862,0.6509657,0.6542625,0.652196,0.6298339,0.6240819,0.626126,0.6919831,0.7275472,0.6704267,0.7086567,0.7028898,0.7239516,0.5677649,0.6549914,0.6534876,0.7866456,0.6246486,0.609729,0.5815933,0.6251251,0.6587688,0.6659618,0.7240978,0.6618243,0.5728231,0.5472499,0.5625226,0.6867236,0.7444971,0.5955131,0.7763011,0.6344758,0.6540683,0.7279613,0.7606189,0.6149514,0.6971888,0.6577757,0.6991333,0.657009,0.6045476,0.737992,0.6251982,0.6265591,0.849672,0.6551754,0.7182675,0.6043565,0.7398077,0.6008938,0.7032654,0.7475195,0.7796054
G14,0.0261665,0.0114905,0.0116188,0.0204637,0.0223177,0.0421651,0.0102513,0.0129339,0.0102956,0.0318962,0.016332,0.0125798,0.0365524,0.0258343,0.0033952,0.0007478,0.0570038,0.032818,0.0265239,0.0278695,0.0252206,0.0353606,0.0487434,0.0477912,0.0075839,0.0299711,0.0247904,0.0255464,0.0006321,0.0119754,0.0278007,0.0152249,0.0029282,0.0430107,0.0012052,0.0056981,0.0076045,0.0566629,0.0068411,0.0277874,0.0329202,0.0648875,0.0028695,0.0245649,0.0674632,0.0146852,0.0624176,0.0038682,0.026808,0.000373,0.0027792,0.0100467,0.0032913,0.010809,0.030223,0.0215306,0.0676068,0.1487134,0.0213286,0.0175456,0.0361244,0.0029027,0.0446671,0.0231914,0.0223275,0.0264684,0.1384191,0.0009905,0.0212283,0.0118021,0.0264433,0.00058,0.0315914,0.0010176,0.08435,0.0328146,0.0291811,0.0019259,0.0210884,0.0165435,0.0546592,0.0032962,0.0282067,0.0005602,0.0183439,0.0151615,0.0405476,0.0181919,0.0173296,0.0228773,0.0581666,0.0407834,0.0219015,0.0325285,0.0013303,0.0170441,0.0136467,0.0,0.0093045,0.0655384,0.0508341,6.11e-05,0.052525,0.0079628,0.0462774,0.0285527,0.0121992,0.0089217,0.0013111,0.0022326,0.0195021,0.0318273,0.0402661,0.0569818,0.0713043,0.0438116,0.0106062,0.0120614,0.0137288,0.0256649,0.0084954,0.0363622,0.0669181,0.010439,0.0171964,0.0084115,0.1103493,0.0225755,0.0422391,0.0725508,0.0248737,0.0548965,0.0195658,0.1037443,0.0676771,0.013052,0.1245481,0.0342471,0.0161693,0.0120417,0.0166861,0.0419848,0.0290505,0.010587,0.0206185,0.0256098,0.0242133,0.0842187,0.0413349,0.01587,0.0255777,0.02478,0.019971,0.033421,0.01418,0.0230451,0.0196055,0.0439732,0.017558,0.0532767,0.0218093,0.030435,0.0175443,0.0388476,0.0199849,0.0467504,0.0307345,0.0647191,0.0361662,0.0326213,0.0425958,0.0202846,0.0316766,0.0149938,0.0357308,0.0340908,0.0303016,0.0415685,0.0342392,0.008122,0.0226136,0.021766,0.0343534,0.020288,0.0602115,0.0393366,0.0070622,0.0280087,0.0328056,0.0089364,0.0324944,0.0310149,0.0167157,0.0352026,0.0551525,0.0175847,0.0184891,0.0203031,0.0116327,0.0338827,0.0221017,0.0209705,0.0394098,0.0333988,0.0748768,0.0301777,0.0152382,0.0255394,0.0206861,0.0329959
G15,0.0257686,0.0138168,0.0407517,0.0211456,0.0227043,0.0221637,0.0713989,0.0341489,0.0254284,0.0262742,0.0242233,0.0310583,0.00225,0.0189251,0.0081351,0.0084928,0.0140839,0.0347338,0.0194142,0.0123709,0.0024526,0.0217475,0.0224942,0.022218,0.0198996,0.0198835,0.0347856,0.0113793,0.0019228,0.0491547,0.0215632,0.0265442,0.011613,0.0023716,0.0023893,0.0451593,0.015125,0.0417747,0.039183,0.0749512,0.0527577,0.0346211,0.0266558,0.097848,0.0429154,0.0029876,0.0027715,0.0401648,0.0207965,0.0092494,0.0190757,0.0457182,0.0063482,0.0271797,0.0124109,0.0259463,0.1019254,0.0434954,0.0003378,0.0319907,0.1182927,0.0091021,0.0393044,0.033082,0.000141,0.0392662,0.027796,0.0044081,0.0030548,0.0467191,0.065298,0.0012872,0.0016323,0.0422365,0.0196053,0.0527201,0.0006562,0.0172789,0.2227899,0.0592031,0.0162203,0.043203,0.04323,0.0110251,0.036446,0.043113,0.1263186,0.0020163,0.0003336,0.0412762,0.0142073,0.0496387,0.0560495,0.0872707,0.034967,0.009016,0.0477595,0.0066274,0.022647,0.0067234,0.0414045,0.0107746,0.0454413,0.0004365,0.0495881,0.0465656,0.1598706,0.0078429,0.0412834,0.0420741,0.0734572,0.0377663,0.0414698,0.0234799,0.0227308,0.0131989,0.0423417,0.0097894,0.0388475,0.0213067,0.0479064,0.0404917,0.0385641,0.0168205,0.0288747,0.0155078,0.0427791,0.0220734,0.0579553,0.0688604,0.0172958,0.0461126,0.0412357,0.0469235,0.0336833,0.03681,0.0539413,0.0380539,0.0183085,0.0431069,0.028824,0.0633357,0.0361929,0.0285249,0.0309645,0.043554,0.1000143,0.0566622,0.0235395,0.0597757,0.0337095,0.0339648,0.0196718,0.0116025,0.0270908,0.0210386,0.0212973,0.0201124,0.0299724,0.0606817,0.0464593,0.0577514,0.0308035,0.0251355,0.0287928,0.0231855,0.0436412,0.0185017,0.0198614,0.0137175,0.0212856,0.0447257,0.0376424,0.0267203,0.0670903,0.0157617,0.0234656,0.0298259,0.0251194,0.0247461,0.0435502,0.0443903,0.048737,0.0816721,0.014556,0.0423348,0.0300026,0.0266885,0.028947,0.0662242,0.023361,0.0255678,0.079444,0.0227082,0.0232649,0.0627374,0.0460336,0.0374739,0.0292343,0.0161303,0.0388227,0.0539045,0.0130026,0.0490082,0.0513638,0.0628822,0.0395087,0.0104153,0.0336249,0.0199742
G16,0.568213,0.5540567,0.7248252,0.7233365,0.6477806,0.5573566,0.538778,0.589239,0.5374833,0.5895371,0.6811592,0.6127767,0.5347638,0.6436915,0.602387,0.6638989,0.7391852,0.5081702,0.6898356,0.1525928,0.6883747,0.5785861,0.7629883,0.6288705,0.1848437,0.6211276,0.6182252,0.6542854,0.611278,0.5923754,0.747667,0.677545,0.2210158,0.747432,0.6693936,0.5835286,0.5383107,0.5102659,0.5188663,0.6402971,0.5679512,0.6049948,0.646547,0.6797033,0.6398964,0.6612301,0.7820503,0.1735832,0.5589723,0.7282739,0.172942,0.445595,0.7504641,0.7183044,0.6634903,0.5812634,0.5114402,0.5272676,0.6428704,0.715156,0.7109639,0.624084,0.4466214,0.6247294,0.4648029,0.620307,0.5698637,0.7294194,0.6114157,0.139107,0.4231346,0.6994985,0.5577783,0.1422461,0.5160082,0.6413062,0.4563039,0.7296244,0.7330266,0.5820255,0.599776,0.6978132,0.4072201,0.5906271,0.6828831,0.120218,0.6138841,0.7322545,0.5879242,0.5758744,0.6282763,0.3953403,0.7241207,0.7270492,0.6809625,0.7878445,0.5946527,0.6716,0.1000309,0.6887675,0.5652166,0.6134943,0.5932789,0.6841663,0.2264056,0.6749206,0.5802893,0.5119833,0.1601923,0.7208856,0.6914614,0.5310233,0.2147496,0.6551999,0.6498997,0.7292956,0.7400219,0.7076998,0.6835606,0.5593291,0.657779,0.7150214,0.3356148,0.608933,0.714654,0.5386412,0.6747315,0.7850995,0.6298245,0.5182871,0.7863532,0.5271383,0.6242723,0.4820163,0.5342948,0.7006066,0.5670235,0.5835322,0.5303175,0.6807283,0.5930589,0.5486143,0.6247535,0.5387598,0.6612199,0.6234748,0.7096948,0.4507022,0.6092437,0.5771945,0.6782498,0.5981227,0.6419058,0.5001321,0.5760202,0.5521284,0.5238804,0.6490253,0.6597719,0.5172464,0.6233188,0.5616692,0.6897262,0.4313642,0.7599571,0.4984991,0.5597018,0.5351602,0.5505069,0.652669,0.5225603,0.5681399,0.5870537,0.5320715,0.4970644,0.6861675,0.5849214,0.5695728,0.6728951,0.5233846,0.7066481,0.6237013,0.5552434,0.5158102,0.5172398,0.6058155,0.5594877,0.5262618,0.6343795,0.6361235,0.5930872,0.6005111,0.5994635,0.6564143,0.5445964,0.5378103,0.5012021,0.545464,0.5803059,0.6132934,0.6244901,0.6662691,0.61789,0.6881377,0.5571174,0.6405062,0.5531912,0.7021531,0.6874654,0.5720713
G17,0.5621868,0.632186,0.6134158,0.6701322,0.7144245,0.5693664,0.5979513,0.5796603,0.5786812,0.5958464,0.7508242,0.5788247,0.7211844,0.7414379,0.6074985,0.7084217,0.737126,0.6672011,0.6843499,0.7229893,0.6097516,0.615011,0.6440267,0.6014709,0.6087347,0.6659858,0.6712412,0.5530718,0.6414033,0.6010685,0.6732056,0.7141852,0.767673,0.6743165,0.5671497,0.6990582,0.7131991,0.5712739,0.6436264,0.5755695,0.5845492,0.7782016,0.8106853,0.8062462,0.1298602,0.6502349,0.7625041,0.7431541,0.6672909,0.8052348,0.745119,0.721822,0.7172554,0.5747596,0.7707546,0.619314,0.6214479,0.0723035,0.6605079,0.6317022,0.6766358,0.6781116,0.8084913,0.6436341,0.6393787,0.7188372,0.2676959,0.6524543,0.76718,0.6802741,0.6070184,0.6556484,0.6533213,0.6642678,0.1716808,0.794009,0.6272625,0.7817276,0.6641529,0.7487935,0.4347817,0.674388,0.4576893,0.7446773,0.6613048,0.6216108,0.6802166,0.8393884,0.7536368,0.653809,0.4527033,0.3732987,0.6726948,0.6774486,0.7281976,0.5739138,0.6074744,0.8128882,0.540482,0.6496454,0.3933414,0.5092481,0.5691035,0.658921,0.3785121,0.6928314,0.6052869,0.6959452,0.6996232,0.6900036,0.750059,0.5472757,0.5254752,0.6472595,0.2398766,0.6770345,0.7671816,0.7685412,0.5660595,0.5256861,0.6172599,0.5968997,0.2934151,0.846921,0.6991787,0.688241,0.1568279,0.7291512,0.5804206,0.5386035,0.59084,0.6905837,0.7399545,0.1055422,0.8383535,0.7127606,0.2831477,0.6228847,0.5784038,0.743838,0.5893808,0.4696811,0.7656391,0.6597741,0.5562451,0.7119935,0.783307,0.2255561,0.6219827,0.6733662,0.6146112,0.6606442,0.7318349,0.6479021,0.7376806,0.5445542,0.7779694,0.6957556,0.7223215,0.2249732,0.7023911,0.5907397,0.6347852,0.6381137,0.7545766,0.5469331,0.6765087,0.7186992,0.7809911,0.7251922,0.6824808,0.5810485,0.7050414,0.6706386,0.8101329,0.7272806,0.7214923,0.5911426,0.7345873,0.7357247,0.5686607,0.7923125,0.7016404,0.6174641,0.6553359,0.787321,0.6697805,0.5896934,0.6294319,0.6740052,0.6665643,0.5458061,0.5773413,0.5912446,0.668689,0.6723411,0.710596,0.736431,0.6108654,0.753258,0.7151261,0.6158815,0.6708248,0.6526328,0.6747371,0.6474822,0.6655011,0.6110706,0.6339805,0.4938908
G18,0.6623971,0.7424038,0.5726095,0.617621,0.7200421,0.5416848,0.6183389,0.6147194,0.6642356,0.644377,0.4141852,0.5766568,0.5658407,0.6938434,0.5944968,0.4892407,0.6430249,0.3236292,0.5155548,0.5717606,0.4969082,0.6080635,0.4272899,0.6052385,0.5760812,0.2616124,0.4830436,0.6643049,0.5781932,0.6610861,0.5309677,0.6719498,0.58113,0.6790331,0.6147241,0.737165,0.6252792,0.2126849,0.576728,0.4828263,0.6387343,0.5274963,0.6330263,0.4310642,0.2501293,0.5964925,0.7045932,0.5914894,0.6231849,0.5151544,0.5009244,0.6655186,0.6163804,0.5515036,0.5192388,0.5156108,0.4238304,0.2361329,0.6323415,0.6009572,0.3273347,0.6962669,0.5236622,0.6329464,0.6735147,0.562436,0.2252949,0.4935923,0.7099136,0.6264907,0.5959087,0.6357796,0.7160523,0.6551559,0.2683727,0.6547076,0.6604412,0.5814524,0.3257766,0.4792413,0.3075695,0.6779988,0.530878,0.6221602,0.5639013,0.5976684,0.5424247,0.5848505,0.5986445,0.6530786,0.2225828,0.6645354,0.698637,0.3624436,0.6932774,0.4989051,0.6415289,0.6298033,0.6681864,0.5188167,0.2965964,0.6083795,0.5040537,0.5569945,0.5833092,0.5762387,0.3843905,0.8187038,0.6918558,0.5768502,0.4941996,0.6168722,0.5989721,0.4698379,0.5677412,0.670299,0.5741907,0.5982875,0.6015319,0.7019709,0.523465,0.7118097,0.6539251,0.4823095,0.6433913,0.5501113,0.6495577,0.4775651,0.5710193,0.6580954,0.48983,0.6299515,0.6065829,0.5292703,0.5940551,0.6005957,0.5171952,0.5575576,0.7225545,0.618184,0.577181,0.6177021,0.5412099,0.468313,0.6671543,0.5031689,0.5699688,0.5418218,0.4868758,0.6429745,0.6370274,0.6071821,0.5805447,0.6109144,0.6063981,0.5477087,0.5901922,0.5702353,0.5715327,0.5710485,0.524148,0.6297588,0.666526,0.6683238,0.6529557,0.6465787,0.5996992,0.6654585,0.618493,0.5553153,0.6736699,0.6083219,0.7169774,0.4804481,0.5893409,0.5321874,0.6141464,0.5641066,0.5360296,0.6748046,0.6175345,0.6638412,0.6409744,0.5830865,0.7056167,0.65293,0.5592721,0.5402102,0.6657834,0.6444667,0.7006202,0.5695814,0.5235609,0.5639987,0.5511083,0.5051326,0.5705864,0.7562847,0.5930873,0.6023541,0.6766485,0.5679646,0.5664845,0.5156968,0.591553,0.7328838,0.5649628,0.6160182,0.6050365,0.6402915
G19,0.0046019,0.0114225,0.0029145,0.0035736,0.0054949,0.0040584,0.0033922,0.0058497,0.0015353,0.0039923,0.0027994,0.00587,6.14e-05,0.0044671,0.0048091,0.0043482,0.0,0.0042893,0.0008997,0.0014405,0.0018413,0.0021245,0.0053127,0.001276,0.0018035,0.0062544,0.0010091,0.0029521,0.0037302,0.0014285,0.0071045,0.0008814,0.0034492,0.0035287,0.0110895,0.0026364,0.0004325,0.014779,4.4e-06,0.0063437,0.0001665,0.0032204,3.69e-05,0.0073456,0.0247561,0.0020054,0.0005976,0.0010616,0.0043747,0.0003408,2e-05,0.0019192,0.0016077,0.0059917,0.0002489,0.0010444,0.010717,0.0286731,0.0008347,0.0029551,0.0033457,9.09e-05,0.0006418,9.07e-05,0.0010662,0.0093371,0.0145438,0.0076893,0.0024736,0.0008238,0.0003534,0.0015967,0.0054305,0.0018769,0.0149936,0.0011877,0.0005728,0.0020014,0.0018492,0.0015064,0.0433192,0.0005125,0.0004245,0.0091305,0.0079999,0.0009999,0.0054592,0.0047163,0.0014723,0.0011402,0.0058009,0.0010053,0.0013726,0.002118,0.0015154,0.0081407,0.0044685,0.0031404,0.0004671,0.0017043,0.0031108,0.0045256,0.0084817,0.0068824,0.0035072,0.0019843,0.0118397,0.0001615,0.0008742,0.0007409,0.003032,0.0010301,0.0023836,0.0051215,0.0044935,0.0062717,0.0054893,0.0018854,0.0049495,0.0104378,0.0017341,0.0028155,0.0030629,0.0014533,0.0014677,0.0020411,0.0037905,0.0105182,0.0097888,0.0046204,0.0004175,9.27e-05,0.00659,0.008049,0.0040564,0.0100132,0.0017682,0.0049856,0.0051054,0.0010584,0.0022324,0.0019134,0.0018749,0.0021949,0.0046327,0.00079,0.0016652,0.0081587,0.0025117,0.0048601,0.0032375,0.0118245,0.0078312,0.0016304,0.0119871,0.0067736,0.0029425,0.0002361,0.0067391,0.0006709,0.001622,0.0112134,0.0022509,0.0032068,0.006262,0.0053049,0.0024178,0.0108387,0.007208,0.0367576,0.0011531,0.004556,0.001674,0.0061573,0.0065132,0.0104519,0.0013466,0.0017045,0.0064612,0.0016608,0.001089,0.0120946,0.0019367,0.003757,0.0059898,0.0117113,0.0017023,0.0001359,0.00041,0.0028631,0.0062089,0.0059793,0.0046792,0.001059,0.0071519,0.0009714,0.0014247,0.0014131,0.0012704,0.0049936,0.0,0.0016798,0.0003863,0.0021333,0.0051547,0.0100371,0.0095631,0.0108177,0.0025436,0.0114696
G20,0.6235683,0.8021582,0.7489339,0.7388233,0.7319881,0.843357,0.7739391,0.6929188,0.7649748,0.6854627,0.0426737,0.1087135,0.7074638,0.8523316,0.543928,0.7157756,0.2911331,0.4479662,0.6466736,0.7526125,0.670334,0.5246661,0.0021094,0.7293111,0.5924887,0.3341059,0.3101646,0.5456098,0.6461865,0.1476264,0.6868437,0.6123271,0.6010348,0.6544821,0.7558149,0.136939,0.5888703,0.3670761,0.3738565,0.0034898,0.202129,0.7715634,0.5948348,0.0115958,0.3369119,0.596088,0.5785613,0.7320502,0.3403028,0.6179663,0.6883441,0.2844239,0.6434058,0.6510685,0.6164951,0.1163041,0.007936,0.3356635,0.560244,0.6776097,0.0315222,0.5869306,0.2199547,0.0509531,0.7164789,0.8413105,0.4563405,0.5187398,0.5589447,0.6895608,0.0296136,0.6339718,0.5398086,0.781552,0.4287366,0.5937409,0.5527086,0.7719309,0.0002793,0.0285867,0.3996327,0.7653924,0.0071057,0.6468019,0.8210423,0.7869171,0.0005796,0.6632607,0.7361372,0.0265745,0.3003025,0.0361234,0.0022441,0.0072847,0.6622994,0.5758459,0.6223879,0.6576197,0.7672248,0.7477564,0.3219913,0.6456364,0.02647,0.495885,0.0124167,0.6248373,0.0022606,0.7156173,0.5980332,0.6810528,0.8386441,0.538267,0.6469932,0.7253402,0.664951,0.6746854,0.7042362,0.6614715,0.7521218,0.5640349,0.7385503,0.6335674,0.6221015,0.6118354,0.7731286,0.6540895,0.6931428,0.5303787,0.6023056,0.5911838,0.8029458,0.6209376,0.6872769,0.6495024,0.6386407,0.5843072,0.6959344,0.7123274,0.640475,0.6458771,0.7438143,0.6398715,0.7044666,0.698707,0.6024505,0.6988192,0.7588965,0.73842,0.7234368,0.77122,0.718768,0.7211579,0.6934873,0.2959046,0.620096,0.8036691,0.8005375,0.608023,0.7964259,0.763924,0.6520949,0.7225639,0.7178423,0.3931461,0.836472,0.5978025,0.8087555,0.723188,0.8078234,0.8969024,0.5871049,0.7633111,0.6739248,0.6494536,0.227379,0.6094321,0.6451026,0.6821308,0.6521332,0.6353827,0.5701122,0.6484215,0.6117131,0.6458522,0.7465094,0.666628,0.6178395,0.7433759,0.6736092,0.4763974,0.757923,0.5001744,0.6384296,0.6813665,0.7631009,0.6857186,0.6327637,0.7150529,0.6543697,0.6457554,0.613339,0.7542713,0.6185191,0.6312724,0.6490745,0.7465139,0.7282953,0.4743104,0.7335697,0.7548819
