	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
TS_0_10	0.4613732	0.0110936	0.7062919	0.3574042	0.0005472	0.7007329	0.0004501	0.6570312	0.0007397	0.0619358	0.6679287	0.2175492	0.0325556	0.5833551	0.0643876	0.6076623	0.7064219	0.7457808	0.0368419	0.5526114	0.0014118	0.0005515	0.7215304	0.1906037	0.123008	0.1137934	0.7175535	0.1257622	0.6838263	0.4619333	0.505383	0.6764848	0.0585659	0.0	0.3697308	0.0003486	4.04e-05	0.0597607	0.6921623	0.7202111	0.6012813	0.4671349	0.2232592	0.0255133	0.026209	0.7007717	0.7021782	0.0038407	0.0849709	0.8011398
TS_0_11	0.4340886	0.0081839	0.7057837	0.6269886	0.0013048	0.7389924	0.018152	0.7260401	0.0958963	0.0955135	0.6734565	0.2069404	0.083616	0.5233081	0.0503659	0.5799534	0.6724893	0.6682641	0.0438824	0.5603503	0.016717	0.0136462	0.5995915	0.2597201	0.1541365	0.0750486	0.5976037	0.10313	0.742441	0.2946958	0.587928	0.6203118	0.0210548	8.6e-06	0.4394908	0.0282328	0.0003561	0.0484238	0.7388655	0.6344797	0.6586449	0.5605299	0.0907586	0.0292676	0.0139776	0.6185327	0.745531	0.0008771	0.1032653	0.7473703
TS_0_12	0.3563956	0.0036407	0.7730878	0.6781899	0.0870184	0.6568362	0.086685	0.6935531	0.2607658	0.0980834	0.6886391	0.2138602	0.4601231	0.5326687	0.058367	0.5821588	0.5591033	0.6452447	0.039356	0.8038649	0.0099194	0.0188593	0.7587717	0.3110839	0.1008509	0.1077799	0.5991553	0.1137721	0.6810064	0.4396679	0.7271351	0.7490802	0.0210872	6.17e-05	0.3689809	0.0552593	0.000314	0.0462616	0.6472402	0.6368816	0.7537248	0.4410375	0.0794082	0.0275439	0.0618855	0.8815895	0.7513894	0.0006991	0.0882707	0.6874685
TS_0_13	0.3440753	0.0003888	0.6234743	0.717076	0.2504262	0.7125035	0.1168054	0.6572055	0.139828	0.0821043	0.7011436	0.2130421	0.5091456	0.5363882	0.0657727	0.6207456	0.6532636	0.8127095	0.0416993	0.7375619	0.0201903	0.0057453	0.5482095	0.1824323	0.1661924	0.0755949	0.5286755	0.1337959	0.7258829	0.3941872	0.7330065	0.8031246	0.0221168	1.52e-05	0.4008786	0.0479019	0.0	0.1152045	0.7673196	0.7394837	0.7236966	0.4248645	0.047547	0.0111209	0.0444229	0.8252856	0.8432681	0.0036582	0.1133444	0.8109448
TS_0_14	0.3521258	0.0073699	0.7774035	0.7903968	0.2166527	0.6695771	0.215418	0.6393479	0.1816905	0.0455384	0.5414514	0.1184644	0.4024905	0.6861664	0.077102	0.6142541	0.7353991	0.5987299	0.0443789	0.6468746	0.0268124	0.0108124	0.6349348	0.2526072	0.1125986	0.069386	0.5015463	0.0773027	0.7700038	0.3728123	0.8396956	0.7916349	0.0591676	0.0005096	0.5597233	0.0338676	0.0003762	0.0943837	0.794901	0.656707	0.7111134	0.3356618	0.0232638	0.0161829	0.0232134	0.7235158	0.7571848	0.0008035	0.1594037	0.7893954
TS_0_15	0.4819131	0.0047453	0.6330868	0.7395435	0.2877449	0.7756144	0.2980481	0.5911886	0.1436508	0.0511749	0.7448399	0.1076234	0.4908505	0.7345056	0.0975707	0.6664159	0.6830439	0.6302307	0.0487499	0.509157	0.0243442	0.038441	0.667704	0.3241793	0.1114466	0.0691842	0.5564995	0.0900944	0.778698	0.4353451	0.6811735	0.6459437	0.0279312	6.7e-06	0.4848498	0.0162254	0.0002177	0.0707848	0.805972	0.6714761	0.5909677	0.4526716	0.0319158	0.0195457	0.0260197	0.739668	0.7650435	0.0121798	0.1063201	0.6420655
TS_0_16	0.4163509	0.0017342	0.7126494	0.6682938	0.3307261	0.7791462	0.3052992	0.6581768	0.1760528	0.0064725	0.701671	0.2050356	0.6024217	0.5833316	0.0733591	0.7027881	0.6777344	0.6608651	0.0513695	0.6307835	0.0211902	0.0217466	0.5514288	0.2525478	0.1267009	0.1066522	0.4625362	0.0795775	0.8017341	0.471201	0.7109172	0.7126261	0.0206607	0.0001689	0.478976	0.0509952	0.0	0.0978031	0.7610176	0.6584048	0.7315347	0.3897828	0.0197132	0.0265672	0.0173782	0.6736706	0.6934479	0.0021267	0.1081261	0.6279714
TS_0_17	0.3614004	0.0059846	0.7180563	0.9027566	0.2851876	0.6279333	0.3430045	0.6194792	0.1345696	0.0404493	0.6757633	0.1429855	0.6351845	0.7237383	0.0511218	0.5787336	0.6280105	0.634198	0.0386102	0.7474659	0.0131216	0.0307144	0.6940477	0.221059	0.1434955	0.0940043	0.5158874	0.0865459	0.7538825	0.3357801	0.663199	0.7926382	0.0199547	0.0002746	0.3611897	0.0211375	3.23e-05	0.0635048	0.7485264	0.5905554	0.673078	0.4225026	0.0496419	0.0174876	0.0695218	0.7134835	0.7349319	0.0064451	0.1080825	0.7017213
TS_0_18	0.4544456	0.0033494	0.711222	0.6903193	0.2838752	0.6961004	0.2123467	0.7049598	0.1378862	0.0346508	0.6350444	0.1258918	0.6870822	0.7871263	0.0685153	0.8923051	0.8411456	0.6646864	0.0353226	0.5878624	0.0376378	0.0165747	0.6836064	0.2778142	0.1307645	0.1118487	0.6549099	0.0995858	0.6138959	0.3782369	0.6892668	0.6308665	0.0221953	0.0003841	0.458411	0.0279294	3.2e-06	0.0281325	0.7100131	0.6579854	0.574739	0.4578926	0.0319937	0.0186547	0.0304213	0.6635039	0.662866	0.0026253	0.0546107	0.7275708
TS_0_19	0.4451799	0.0007224	0.8065649	0.6854762	0.2621067	0.6335938	0.2878761	0.6477112	0.1905174	0.0402918	0.7258414	0.0782885	0.6851131	0.6237049	0.07191	0.6595718	0.5933918	0.6688594	0.0330458	0.759844	0.0436775	0.0148325	0.6437706	0.226505	0.1136884	0.1391304	0.6287558	0.1784691	0.6663511	0.3680966	0.6928542	0.7599457	0.0627752	2.6e-06	0.3343086	0.0540362	0.0005152	0.0537668	0.8177684	0.760414	0.6041849	0.414021	0.013883	0.0047894	0.0413563	0.7457357	0.7998652	0.0023592	0.1013527	0.7194075
TS_0_20	0.4161576	0.0007154	0.689314	0.6780567	0.2677759	0.8004774	0.266455	0.6187343	0.1237912	0.0475946	0.8962047	0.0845228	0.6770632	0.6122393	0.0730322	0.6329088	0.5867663	0.7217476	0.0377992	0.717599	0.0106135	0.0512286	0.6794574	0.2042332	0.1426754	0.1222465	0.5640236	0.1544005	0.7881858	0.3845577	0.7409963	0.7074161	0.0234098	0.0003554	0.3713741	0.0464011	5.54e-05	0.0727124	0.6581584	0.7059368	0.7362525	0.381098	0.0103595	0.0105463	0.0196081	0.6907119	0.7851002	0.0053122	0.1160979	0.8248805
TS_1_0	0.4591045	0.0087372	0.7402444	0.7627558	0.2165551	0.7572792	0.2486745	0.5419649	0.183775	0.052018	0.6926779	0.1382954	0.5889667	0.6652717	0.0832772	0.7914325	0.5643318	0.564601	0.0285142	0.7244776	0.0360639	0.0129345	0.6844674	0.2195967	0.1309842	0.1047227	0.5354367	0.2088003	0.6201827	0.3355581	0.6420369	0.7361612	0.0305837	0.0006684	0.4121767	0.0526155	1e-07	0.0836031	0.7571198	0.6803841	0.6989903	0.3705944	0.0098346	0.0131414	0.0250919	0.8305358	0.586244	0.0199655	0.1001115	0.7950319
TS_1_1	0.3720749	0.0038779	0.7086658	0.7314162	0.3072613	0.4690323	0.1718837	0.7026037	0.1510246	0.0761209	0.7566529	0.169093	0.6137846	0.5383637	0.0776931	0.6514292	0.5756139	0.7316666	0.0596666	0.660347	0.0123832	1.65e-05	0.6410586	0.2375978	0.1503032	0.1336743	0.5318964	0.1848919	0.4998795	0.2027174	0.5770112	0.6942081	0.0638974	2.55e-05	0.4590646	0.0270543	7.4e-06	0.0354925	0.6956782	0.2085893	0.6271615	0.2882775	0.0567356	0.0016728	0.0355367	0.6403978	0.3226846	0.0037546	0.1029923	0.6676324
TS_1_2	0.36359	0.0087546	0.8692715	0.648445	0.2926964	0.2469476	0.2008677	0.5311422	0.1481868	0.0524877	0.6899298	0.1797304	0.5987052	0.7190259	0.0942748	0.6591842	0.6522613	0.6033537	0.0127911	0.6324342	0.0270176	5.61e-05	0.7086416	0.1914108	0.1195255	0.09052	0.633637	0.3042192	0.4619875	0.1758508	0.6806706	0.6433412	0.1146779	0.0007998	0.4389232	0.0156295	3.29e-05	0.0642118	0.7323495	0.1164877	0.674065	0.4267766	0.038286	0.00244	0.0409885	0.8364401	0.211122	0.0056767	0.1962926	0.7994388
TS_1_3	0.3997945	0.0075901	0.6657899	0.8070377	0.230391	0.1825642	0.2255628	0.3804851	0.1455451	0.0263482	0.7019464	0.15626	0.5532589	0.7012085	0.1369089	0.6140297	0.7523093	0.6719575	0.0055187	0.5476551	0.0324995	0.0001066	0.7663167	0.1909286	0.1301785	0.0843382	0.6159994	0.3065499	0.3023352	0.2848501	0.7815295	0.6810742	0.1593392	0.0	0.4267454	0.012908	3.3e-06	0.0495346	0.6897223	0.0519886	0.671684	0.3869755	0.0467352	0.0023478	0.0730819	0.6993655	0.2294061	0.0072001	0.2300195	0.6766936
TS_1_4	0.4092073	0.0055204	0.8678796	0.7211084	0.2074501	0.1749368	0.1911606	0.3231117	0.1746126	0.0343497	0.6568294	0.1223049	0.6416249	0.6559983	0.0519865	0.5573569	0.7475192	0.5695295	0.0011704	0.6899983	0.0517912	0.0001691	0.6554708	0.230801	0.10604	0.1486419	0.6467399	0.3075998	0.3119144	0.1860813	0.590501	0.7643937	0.2075625	0.0010359	0.4706024	0.010248	3.2e-06	0.0731776	0.671533	0.0500978	0.5634619	0.3788731	0.0445955	0.0004958	0.0471254	0.5995678	0.2462557	0.0245264	0.2318367	0.6657548
TS_1_5	0.4646842	0.0057758	0.6845527	0.6960263	0.2533004	0.2459311	0.1224022	0.3345984	0.158559	0.0519485	0.737085	0.1153536	0.7211688	0.6203818	0.1153137	0.7078633	0.7243459	0.6860015	0.0029694	0.7334329	0.0646375	2.32e-05	0.7603266	0.2751942	0.1358639	0.1789683	0.6989058	0.2229325	0.2449883	0.2194007	0.7729266	0.8593097	0.1343027	0.0019037	0.4489514	0.0109205	1.56e-05	0.076296	0.6930407	0.0660353	0.5612882	0.3944136	0.0938827	0.0	0.0186067	0.5838359	0.288505	0.0180032	0.3316277	0.6781629
TS_1_6	0.4262808	0.0045128	0.7231852	0.7660901	0.2770902	0.2202939	0.1960776	0.3132333	0.2004803	0.0298869	0.6152006	0.1243379	0.7024224	0.6670296	0.073976	0.7624774	0.7921159	0.6195233	0.0001446	0.8067206	0.1077009	0.0001446	0.6452514	0.2942673	0.0843475	0.1676369	0.7229683	0.4031111	0.3861349	0.1688039	0.654791	0.8350535	0.1825738	0.0052859	0.5016201	0.0165782	0.0007032	0.1038296	0.7262769	0.0419301	0.6063655	0.2969106	0.0589967	0.0037495	0.0350848	0.7157555	0.2195804	0.0121972	0.360685	0.6281107
TS_1_7	0.3968236	0.0082664	0.8520326	0.6615496	0.3346287	0.2188457	0.2003409	0.2599808	0.1769227	0.0209996	0.6694933	0.165736	0.5288281	0.6844271	0.1101231	0.7995287	0.7858551	0.5469911	0.0002607	0.7919443	0.1222367	2.77e-05	0.5454864	0.1827211	0.1503055	0.1971782	0.6597687	0.4239146	0.248468	0.0944774	0.722543	0.6633028	0.2193403	0.0013491	0.4437154	0.0005619	4.32e-05	0.0642725	0.5986874	0.0633194	0.7371582	0.2791886	0.0521427	0.0018572	0.0281294	0.7700433	0.1965148	0.0062194	0.2755621	0.6467263
TS_1_8	0.4134296	0.0005731	0.6430799	0.6502385	0.3373543	0.3218873	0.1962107	0.2425022	0.1804449	0.0222507	0.6864374	0.1259465	0.5772249	0.6730679	0.1188503	0.6243967	0.7657492	0.6028671	0.0009487	0.7258794	0.2041261	0.0	0.4923564	0.2665037	0.1489987	0.2492619	0.6247217	0.4633456	0.3213107	0.2107269	0.6893476	0.7661687	0.24708	0.0043939	0.4173698	0.0257383	3.29e-05	0.0594351	0.7760066	0.0549247	0.6404914	0.4417861	0.1143799	0.001337	0.0501246	0.6588032	0.2148055	0.0176556	0.4022975	0.5632877
TS_1_9	0.3937428	0.0032849	0.6979752	0.5915024	0.2284082	0.2937408	0.2216616	0.2224802	0.1840316	0.0427982	0.7862938	0.112451	0.5429432	0.7393521	0.1231403	0.7790158	0.8195904	0.6006854	0.0005991	0.7176056	0.3115852	3.2e-06	0.4919386	0.2367494	0.1256422	0.2283374	0.6970908	0.391948	0.3470931	0.1430885	0.6005768	0.6103474	0.3312623	0.0030674	0.4473706	0.0036996	3.24e-05	0.1322343	0.7981491	0.0803611	0.6582954	0.4482106	0.09755	0.0008075	0.0209064	0.6197736	0.2311456	0.0085217	0.3049805	0.6869409
TS_1_10	0.3656183	0.0085665	0.6994754	0.7870763	0.2327122	0.2902291	0.2130133	0.2163944	0.1788282	0.0141254	0.771819	0.1469659	0.6829886	0.7945338	0.1597041	0.5332662	0.7641914	0.628776	0.0001179	0.7772122	0.2860406	0.0	0.419275	0.2205094	0.1217887	0.3235394	0.6221268	0.4049367	0.2338638	0.1000854	0.6413913	0.7234341	0.2063548	0.0001131	0.4768213	0.0060028	0.0006623	0.1463512	0.6884504	0.0910458	0.7420023	0.3902696	0.1257667	0.014445	0.027056	0.7100113	0.2275775	0.0118551	0.3173485	0.740267
TS_1_11	0.4827277	0.001911	0.7188111	0.590192	0.2920234	0.4934106	0.2776084	0.25085	0.1226122	0.0802413	0.6558453	0.1145548	0.663257	0.6322155	0.1442014	0.5578179	0.8368232	0.6211213	0.0144205	0.6968564	0.2781842	0.0476417	0.5339124	0.1587502	0.1353627	0.2495235	0.615873	0.4448144	0.4898013	0.1891636	0.6747585	0.6683199	0.2143141	0.0004132	0.4026135	0.0743074	0.0003128	0.2585124	0.7344997	0.4890226	0.6867163	0.4192418	0.0732196	0.0240297	0.0425115	0.7179162	0.5399241	0.0012357	0.2491311	0.6462218
TS_1_12	0.4546709	0.0009032	0.6280678	0.7437682	0.3686951	0.8185866	0.2282323	0.5147424	0.1856262	0.0231058	0.6651143	0.142005	0.6575996	0.6714842	0.1414065	0.4467894	0.6202022	0.5324899	0.058386	0.7843661	0.1961133	0.0491034	0.6420729	0.2299986	0.1316674	0.244541	0.5554183	0.5081926	0.6890831	0.2748677	0.6642599	0.6119412	0.1092439	0.0040674	0.3586394	0.041563	1.1e-06	0.145621	0.8982678	0.6792747	0.7712901	0.3944837	0.0347304	0.0245183	0.0320967	0.7705735	0.7565464	0.0031088	0.1739461	0.5428996
TS_1_13	0.4446141	0.0005912	0.7749536	0.7056591	0.3212437	0.6613059	0.211748	0.5441605	0.2061796	0.0472274	0.7247616	0.0893221	0.5785087	0.783336	0.1263971	0.551778	0.6004218	0.6797961	0.0458384	0.7563496	0.0894744	0.0231325	0.7953327	0.1866835	0.106544	0.1545915	0.6201222	0.5431579	0.7366817	0.3456173	0.6815747	0.6471304	0.0759717	0.0018135	0.4096597	0.0431891	0.0	0.1285054	0.706155	0.6270234	0.6443013	0.4188413	0.0228451	0.0381086	0.0202928	0.6569971	0.5763303	0.0030846	0.170999	0.6931407
TS_1_14	0.4052265	0.0038921	0.5862758	0.7340106	0.2317637	0.711292	0.2719176	0.6913378	0.1267083	0.0545975	0.7061423	0.1163256	0.6408147	0.8304548	0.0853899	0.5178952	0.5981478	0.7160181	0.0434564	0.7450056	0.0324872	0.0265686	0.5639269	0.2040057	0.1024792	0.151179	0.6562654	0.3427301	0.5652824	0.4016871	0.7084443	0.6246825	0.0436986	0.0018786	0.3530229	0.0287992	7.4e-06	0.117523	0.6307905	0.6759323	0.7211743	0.4616123	0.0256679	0.0499051	0.030915	0.6939302	0.6595899	0.0035563	0.0683417	0.7664646
TS_1_15	0.3407328	0.0048369	0.6372635	0.6969561	0.2915781	0.7312548	0.1974062	0.5604254	0.1013135	0.0969493	0.6453206	0.1664895	0.5920222	0.7707768	0.0520896	0.5408397	0.6826129	0.5200984	0.0319431	0.6323624	0.0294442	0.0084929	0.6158844	0.1992391	0.0813397	0.157605	0.5363541	0.2779015	0.7512212	0.3790409	0.7860828	0.648077	0.0324816	0.0058766	0.3759062	0.0672843	0.0001827	0.0653369	0.6998978	0.7482581	0.6563818	0.414908	0.0198463	0.0273654	0.0316825	0.795118	0.6876487	0.0001649	0.073195	0.5916369
TS_1_16	0.4807094	0.0033478	0.7603213	0.7017627	0.2734356	0.7735309	0.2136084	0.5806626	0.1156231	0.0529516	0.7035515	0.1441167	0.5450564	0.6509656	0.0492487	0.6038855	0.6344261	0.6862453	0.0344804	0.7217954	0.0389665	0.0346221	0.6187808	0.2469648	0.1130248	0.1136247	0.5952419	0.279001	0.6285688	0.4848111	0.7397947	0.5597204	0.0775935	0.0012002	0.3778849	0.0495906	5.8e-06	0.0882586	0.6771884	0.8236626	0.7735907	0.4480452	0.0217343	0.0095268	0.0402907	0.7482082	0.7610436	0.0009995	0.1346949	0.6364693
TS_1_17	0.4696044	0.0070704	0.6779077	0.6389468	0.2443484	0.7208167	0.229375	0.5649468	0.1573791	0.0425004	0.6097874	0.1532676	0.6636012	0.7283507	0.0806473	0.6418493	0.7089221	0.7590415	0.0506768	0.7664065	0.0590343	0.0188504	0.5631077	0.2263772	0.0902834	0.0890444	0.6414735	0.2003866	0.6957309	0.394719	0.7389287	0.6211257	0.031233	4.21e-05	0.4071044	0.0653204	0.0	0.0581844	0.8136078	0.6067381	0.7483999	0.5791344	0.0292893	0.0144281	0.0139855	0.7253711	0.7928214	0.0007667	0.1230336	0.7924283
TS_1_18	0.4825388	0.0119474	0.7833039	0.661853	0.2219494	0.7176377	0.218859	0.5537204	0.1785177	0.0538653	0.7031058	0.1662072	0.5540687	0.6896071	0.0972883	0.5661263	0.7616904	0.7193646	0.0236266	0.7318022	0.0286011	0.0326441	0.6945377	0.2058287	0.14544	0.0981396	0.5263945	0.1675168	0.596552	0.2901196	0.6688751	0.6446486	0.0479289	0.0	0.3954389	0.0281622	1.55e-05	0.0566133	0.7154958	0.6892767	0.8039386	0.4204572	0.0193983	0.0368594	0.0270379	0.7037257	0.723123	0.0021351	0.0891027	0.7680141
TS_1_19	0.4622856	0.0021192	0.7590413	0.7569289	0.2974402	0.6941011	0.3640244	0.6994564	0.1326334	0.0501935	0.6250403	0.138056	0.5892223	0.7706164	0.0430284	0.6221996	0.8185457	0.7441971	0.0374226	0.8307444	0.0410031	0.0467122	0.6679479	0.2372288	0.1561371	0.0799955	0.6150329	0.1614705	0.687338	0.4105491	0.6595273	0.7815229	0.0515018	0.0	0.3989351	0.0275692	0.0005786	0.0809325	0.726276	0.7019956	0.7280058	0.4949132	0.0165579	0.0145362	0.0265029	0.6853051	0.7257348	0.0066691	0.1080745	0.7960262
TS_1_20	0.4976068	0.0095669	0.6901636	0.6275898	0.2966624	0.6625205	0.2337852	0.6082022	0.169181	0.0419297	0.7973719	0.1613619	0.5980052	0.7039404	0.0929895	0.7199772	0.7488763	0.5868497	0.0313389	0.710001	0.0212094	0.0206466	0.724832	0.2856602	0.1638173	0.1010753	0.4549852	0.1261758	0.7380877	0.3436331	0.6138668	0.8488039	0.0163657	0.0002393	0.4927283	0.0364913	0.0002048	0.0703566	0.7945402	0.7401876	0.6972924	0.3666253	0.0164772	0.0171132	0.031635	0.68351	0.7307889	0.0057407	0.0721999	0.677167
TS_2_0	0.3968163	0.0029437	0.7036736	0.8294226	0.3012931	0.6514037	0.2550535	0.6381938	0.1947204	0.0258834	0.6260332	0.1630702	0.6036606	0.7126088	0.1326589	0.6059329	0.6346395	0.6020896	0.0348045	0.6667013	0.0340382	0.0215819	0.6415632	0.1679283	0.154711	0.1263946	0.5779138	0.1612918	0.7615001	0.3565952	0.6403087	0.7536199	0.0428749	0.001517	0.4080068	0.0433497	1e-07	0.0510674	0.615958	0.5598784	0.736228	0.4217105	0.02108	0.0263576	0.0203024	0.7314419	0.5931864	0.0167516	0.1135283	0.6511351
TS_2_1	0.4499239	0.0055038	0.7989314	0.6965584	0.2740456	0.6852914	0.2435379	0.5785931	0.1405821	0.0545462	0.7223796	0.0313484	0.5683931	0.6238601	0.029224	0.7064351	0.6015074	0.8018859	0.0559957	0.7355946	0.0465655	0.0085372	0.7794449	0.1464122	0.026349	0.0280476	0.5982903	0.1159324	0.3194639	0.419865	0.6765549	0.6719841	0.0432588	0.0019006	0.4030582	0.0375847	4.19e-05	0.103621	0.7402235	0.1664681	0.6637648	0.4085541	0.054331	0.0165521	0.0449679	0.783576	0.7287926	0.0067456	0.0863393	0.5207178
TS_2_2	0.3884736	0.0014965	0.6632715	0.5466616	0.2909407	0.5649808	0.2310881	0.5038045	0.1393543	0.0407812	0.7771867	0.0249847	0.5843739	0.6850866	0.0067448	0.6834575	0.4730951	0.6734336	0.0522523	0.6682586	0.0351368	0.0117787	0.6535407	0.1211062	0.0011366	0.0230031	0.6344961	0.0504488	0.2026345	0.2763506	0.6998913	0.6891575	0.0575294	5.42e-05	0.4596091	0.0589233	0.0	0.1933879	0.7929137	0.0359756	0.7682793	0.4519407	0.056278	0.0173964	0.0395577	0.8151802	0.8400543	0.0008713	0.1381608	0.470736
