G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,Time
0.6876763,0.5722261,0.6780625,0.6945616,0.7034231,0.6453727,0.5691168,0.6585501,0.6719185,0.6758531,0.6781396,0.0982642,0.120123,0.6432161,0.5179048,0.0037576,0.5830479,0.7948152,0.7744897,0.2434385,0.7549425,0.0460834,0.7256049,0.7562193,0.0581229,0.0311427,0.5133983,0.3313335,0.5244474,0.7237807,0.0345109,0.4870202,0.6120352,0.2147576,0.1220322,0.0426309,0.4345313,0.2148164,0.1593037,0.2705776,0.206107,0.2903659,0.670439,0.7924883,0.7581151,7.35e-05,0.7794894,0.6445959,0.6218082,0.6225624,416.66650000000004
0.7571945,0.7712211,0.6633251,0.5922335,0.875397,0.6249441,0.7722024,0.6238218,0.6260822,0.5122389,0.7334176,0.0405617,0.1057669,0.7601129,0.4643662,0.0016967,0.4238223,0.6599573,0.662065,0.1521757,0.8198795,0.0600332,0.6602586,0.5832632,0.0721961,0.0509076,0.7291109,0.6342939,0.4352001,0.6652907,0.4244756,0.4367111,0.5544383,0.2502237,0.0979306,0.0427176,0.2870553,0.2461849,0.1554737,0.1951392,0.2278413,0.3222979,0.4948031,0.7030048,0.7765468,0.0045469,0.5833721,0.6416081,0.5472488,0.557527,583.3335
0.6123648,0.773624,0.6759153,0.7000798,0.6060362,0.6852076,0.515013,0.6272335,0.6602546,0.4693575,0.7672168,0.0985804,0.1309628,0.8082732,0.4994832,0.0006404,0.7950831,0.6449751,0.8619247,0.0811881,0.6575227,0.0547066,0.7983397,0.679486,0.1306428,0.0321466,0.510788,0.7877192,0.5903356,0.6102723,0.6055886,0.5851655,0.7171781,0.3338042,0.0551248,0.0625296,0.2979904,0.2745263,0.1214368,0.2191853,0.2241079,0.3273605,0.5867364,0.6595622,0.6994748,0.0055074,0.837552,0.7112567,0.468112,0.8487057,583.3335
0.8191657,0.8048977,0.6686152,0.6054328,0.7374331,0.6042153,0.6331558,0.5795144,0.6697572,0.585231,0.6322762,0.1087876,0.141113,0.7861938,0.5722306,0.0011762,0.6746903,0.7652095,0.6908505,0.0163385,0.8406787,0.0564546,0.7732515,0.6031243,0.073739,0.0431619,0.5829091,0.7775708,0.4904299,0.7137452,0.6029823,0.4864141,0.6099712,0.3563516,0.0861297,0.0274513,0.3988739,0.307933,0.0612556,0.2208232,0.164062,0.3252277,0.4607041,0.7924879,0.7106498,0.0044678,0.6492035,0.6296897,0.5809353,0.7216404,583.3335
0.8097159,0.7290323,0.6584238,0.6379979,0.6309286,0.5092806,0.6051269,0.711021,0.6525279,0.4749088,0.7079917,0.0868414,0.0954803,0.7868947,0.4404214,0.0044521,0.6671006,0.6737233,0.6743027,0.0183263,0.6594326,0.0263566,0.7809804,0.6873562,0.1979191,0.0410799,0.546428,0.7971878,0.5307759,0.6302158,0.6402418,0.5428442,0.6518854,0.2632271,0.1082267,0.0328983,0.3159693,0.2462381,0.0695958,0.1995414,0.1617802,0.3095528,0.5613952,0.6789779,0.7033101,0.0060955,0.6895163,0.760536,0.6350137,0.6034748,758.3335
0.6954713,0.7332909,0.7541591,0.6320946,0.6817276,0.5812446,0.6181988,0.6710118,0.5853045,0.6478527,0.6672889,0.0671424,0.1094401,0.6055663,0.5103961,0.0041361,0.6681766,0.6980365,0.6834374,0.0040381,0.5878614,0.0263747,0.6772437,0.7166658,0.1142501,0.0367801,0.5995229,0.7477596,0.5262971,0.7611266,0.5997568,0.5309273,0.6856869,0.2340048,0.1463916,0.0330117,0.3581043,0.1871993,0.1589765,0.2665052,0.1914368,0.2510435,0.4314633,0.6166898,0.6240842,0.003959,0.6641817,0.7287535,0.6122252,0.6542646,758.3335
0.7525762,0.732119,0.6364374,0.6994321,0.6959098,0.6296606,0.5983904,0.6357323,0.6330931,0.4962553,0.8147847,0.0865059,0.1463829,0.7128784,0.6339737,0.0015346,0.6490814,0.6597476,0.7147393,0.0052438,0.7260729,0.0467724,0.6132892,0.6090456,0.1481338,0.0590231,0.6501533,0.5718821,0.4417142,0.6210105,0.5476955,0.6257957,0.6095038,0.2658849,0.0845387,0.0280448,0.3897878,0.2292146,0.1455519,0.2226583,0.2181668,0.286607,0.3974918,0.4892289,0.520467,0.0067699,0.5305157,0.5832799,0.5622899,0.6782643,758.3335
0.7211211,0.6790263,0.5633087,0.7013939,0.7484641,0.7161401,0.5342257,0.7112789,0.5463798,0.566904,0.6415517,0.1026431,0.0980969,0.6479707,0.4808748,0.004061,0.6246439,0.6373876,0.6509492,0.0080585,0.6614882,0.050563,0.6647401,0.6407421,0.1436871,0.0423612,0.6670722,0.657542,0.6114678,0.6416321,0.7398403,0.6299439,0.6531853,0.1792766,0.1554101,0.0148586,0.3914084,0.1610137,0.1659182,0.2845733,0.1752152,0.3468438,0.5495328,0.8094075,0.6193109,0.014822,0.6528775,0.7156137,0.5716901,0.6319298,758.3335
0.9053289,0.6624897,0.7239191,0.6457963,0.6406061,0.7326555,0.6122153,0.5789704,0.6524876,0.5793618,0.8382325,0.0924389,0.1072826,0.6745578,0.4820958,0.0014913,0.6537933,0.664575,0.6467009,0.0003768,0.8133388,0.0320821,0.6834537,0.6720566,0.0811147,0.034357,0.6967225,0.7401159,0.581353,0.7257996,0.9131961,0.6594173,0.5401692,0.1280302,0.1108339,0.0811598,0.3219317,0.1201358,0.2451687,0.4123671,0.2741062,0.370518,0.3873464,0.7033168,0.7201532,0.0060426,0.654092,0.7505362,0.6340055,0.6996028,925.0
0.6427779,0.7001768,0.7409576,0.6330511,0.714744,0.6173557,0.4442838,0.6142417,0.6741123,0.6322647,0.8447272,0.096899,0.1262868,0.6779455,0.5693971,0.0028053,0.7208266,0.6915947,0.7565218,0.0004689,0.7007146,0.0629024,0.7651147,0.6445623,0.10058,0.1294089,0.5052871,0.7205277,0.4297674,0.5960045,0.8249308,0.5765454,0.5898227,0.2217124,0.0843723,0.0406131,0.3541311,0.2315522,0.2666382,0.3259149,0.3526824,0.4012269,0.3567635,0.7145244,0.6914682,0.0112362,0.6853191,0.6408987,0.5744029,0.7897201,925.0
0.5628751,0.6735672,0.736434,0.7316865,0.6689851,0.7788944,0.561004,0.7309399,0.7305402,0.4838766,0.7721243,0.0652802,0.1227993,0.6761083,0.5955184,0.0013783,0.6398129,0.7237838,0.7170201,0.0002493,0.7154906,0.0642119,0.6850203,0.6012149,0.1079088,0.0270119,0.7166483,0.5624288,0.5033115,0.7567165,0.6909888,0.6691561,0.6709254,0.2334839,0.0794093,0.0261054,0.4412842,0.2224148,0.1983685,0.3103233,0.2072465,0.3272728,0.4165526,0.6865668,0.7069052,0.0116093,0.7786698,0.6267456,0.6773975,0.7775904,925.0
0.5917243,0.6828948,0.7254077,0.6650424,0.7827268,0.7236579,0.5602515,0.6743455,0.7526272,0.6472985,0.6842177,0.0998623,0.1215242,0.6674782,0.572671,0.0017743,0.7713195,0.6845528,0.6198349,2.96e-05,0.5099772,0.0341551,0.7824257,0.6711418,0.1012721,0.0386963,0.5809007,0.6489288,0.5421431,0.7741474,0.7668723,0.6255617,0.7558042,0.160927,0.0840441,0.027991,0.414263,0.2043302,0.1980216,0.3159841,0.3062742,0.4282999,0.3803236,0.8756546,0.6493484,0.0004386,0.6265873,0.5773804,0.5921526,0.8109139,74.9995
0.7320133,0.5991379,0.5864319,0.5836409,0.7564917,0.7475311,0.4892736,0.6377771,0.6653835,0.4737699,0.6034165,0.0277302,0.1305732,0.6429785,0.5722312,0.0009167,0.7706378,0.6185462,0.7412176,0.0046138,0.7472102,0.0728583,0.6986583,0.5739066,0.0326653,0.0104613,0.8125864,0.7644882,0.5476541,0.6854041,0.3551381,0.5772954,0.6876155,0.0669288,0.1612834,0.005118,0.3181369,0.0519692,0.4028251,0.3735466,0.3046897,0.4637984,0.3887143,0.5680517,0.8066347,0.0082592,0.7625505,0.7311541,0.5993915,0.6433807,74.9995
0.7473118,0.7050796,0.4983082,0.6772828,0.6701854,0.7011787,0.4761195,0.7392353,0.6830466,0.6635767,0.6616469,0.0053443,0.0925355,0.7258143,0.5431665,0.0025483,0.6523618,0.6784902,0.5748701,0.0200989,0.6243769,0.0250996,0.7857145,0.4083885,0.0238413,0.0026523,0.6051861,0.6644574,0.5134073,0.6900603,0.350008,0.5482945,0.6658934,0.0879295,0.1071501,0.0043412,0.2308535,0.0158693,0.6117338,0.5122645,0.4771435,0.5786972,0.3999476,0.6939207,0.6768252,0.0037913,0.6704592,0.6668843,0.5518828,0.6310157,74.9995
0.758459,0.597035,0.5332608,0.7491781,0.6648185,0.7086608,0.4870991,0.6479966,0.7658343,0.5985219,0.7322808,0.0043969,0.1727279,0.5593536,0.5930309,0.0014847,0.6747472,0.6936996,0.7474896,0.0284865,0.6275406,0.0547221,0.6175277,0.4177541,0.0206393,0.0022051,0.7064279,0.7934239,0.7082371,0.5388155,0.2528155,0.5426892,0.7213984,0.1195161,0.0619314,0.0004916,0.1757317,0.0111347,0.5961694,0.6047475,0.5924011,0.636078,0.3851613,0.6242517,0.7067052,0.0109499,0.5591979,0.7196511,0.6873486,0.7591075,74.9995
0.6714083,0.7455405,0.516608,0.6960637,0.5152833,0.6090238,0.6143129,0.7345558,0.6556219,0.6840423,0.7004614,0.0001922,0.1234844,0.6895046,0.5969163,0.0007513,0.6746967,0.7067595,0.6493272,0.0531498,0.6069853,0.0518707,0.7430547,0.4454442,0.0279844,0.0,0.6770688,0.6378342,0.6750308,0.6095971,0.3100966,0.6094439,0.6071758,0.1159216,0.0297553,0.0036157,0.1545628,0.0096541,0.7848662,0.7696329,0.6562816,0.5803571,0.2471017,0.623072,0.6269479,0.0840927,0.4407212,0.6410105,0.5044374,0.6975745,241.6665
0.7971618,0.8071066,0.5946811,0.6981145,0.6037277,0.6307108,0.595124,0.6722465,0.6790729,0.5737936,0.736101,0.0011591,0.076895,0.6516065,0.5831809,0.0010188,0.705602,0.7759358,0.723725,0.024284,0.5044403,0.0442465,0.6644367,0.4877689,0.0286524,0.0070454,0.6163396,0.6655757,0.8364523,0.7292907,0.2456782,0.5743734,0.6992657,0.206684,0.0442923,0.0023433,0.1236908,0.0086978,0.664846,0.6699875,0.7404011,0.8136111,0.3150976,0.7218405,0.608811,0.1451257,0.2203728,0.6370105,0.5374508,0.6756506,241.6665
0.6900546,0.7978216,0.4992579,0.7860116,0.6552902,0.668109,0.7045354,0.6448327,0.6764214,0.6264003,0.6490063,0.0,0.1351968,0.7449696,0.6467498,0.0003509,0.654771,0.5990924,0.6380601,0.0301622,0.696156,0.0417067,0.6315378,0.4364169,0.0165984,0.0085112,0.5305981,0.5777248,0.864452,0.584745,0.2624788,0.6507714,0.644136,0.102286,0.0354936,0.0031365,0.1354819,0.0062672,0.7829807,0.6750615,0.5534409,0.6316468,0.3009939,0.633778,0.6661186,0.1280921,0.1796817,0.6905222,0.5660568,0.6678308,241.6665
0.6471004,0.7382945,0.5418384,0.6983148,0.6249991,0.6586229,0.6033356,0.7345083,0.7650166,0.5631285,0.705943,0.0001357,0.1375354,0.7975805,0.5215286,0.0030276,0.6445487,0.7012834,0.754778,0.0215079,0.6109792,0.0659228,0.7778686,0.3740889,0.0145785,0.0112299,0.5961028,0.7343035,0.6053834,0.5701414,0.2979161,0.640344,0.6535672,0.0864409,0.0400834,0.0024531,0.1660594,0.0096354,0.6174973,0.6876597,0.6499082,0.6656122,0.3331378,0.7035804,0.784371,0.1902202,0.1251744,0.6724432,0.5701877,0.6210744,416.66650000000004
0.7961558,0.6516294,0.5708475,0.740677,0.7819628,0.6643461,0.6183444,0.6028768,0.7487357,0.6636323,0.7140414,0.0007902,0.1299675,0.6170351,0.5979519,0.0069882,0.6648079,0.7024845,0.6174353,0.0421464,0.7819597,0.0565145,0.7206214,0.4111429,0.0272121,0.0019341,0.7064711,0.7391629,0.7764488,0.7581065,0.3389056,0.6114652,0.6056911,0.0534125,0.0534265,0.0015133,0.15152,0.0181674,0.7912205,0.84388,0.6273474,0.6975901,0.3125061,0.6992819,0.8902275,0.2505035,0.1080544,0.7238502,0.4484463,0.6650536,416.66650000000004
0.700403,0.5697756,0.6936434,0.6659965,0.7338749,0.6869246,0.5799572,0.7228937,0.732297,0.6649079,0.7159247,0.0001502,0.0936078,0.6169656,0.4803961,0.0007705,0.735932,0.7462352,0.7367563,0.0249879,0.7010711,0.0649624,0.5776272,0.4425424,0.0386888,0.0009243,0.5185526,0.8258231,0.7641721,0.7960258,0.2344061,0.572796,0.6803942,0.1362945,0.0698094,0.0013483,0.173693,0.0226347,0.7347174,0.6441409,0.6798157,0.6144793,0.2884032,0.8181673,0.7454097,0.1526418,0.1087664,0.6619984,0.5867807,0.7363805,416.66650000000004
0.6767432,0.6807939,0.6499308,0.7343602,0.6918712,0.6083767,0.6973884,0.9036102,0.6744891,0.5068501,0.7905359,0.0,0.0890707,0.756565,0.53901,0.0006646,0.6410185,0.684655,0.7061261,0.0231905,0.6718228,0.0285005,0.7454564,0.4153956,0.0202972,0.0008018,0.5703824,0.6915688,0.6265615,0.6508207,0.2129396,0.5813927,0.7066538,0.1129632,0.0653259,0.0031484,0.1508678,0.0075478,0.6246971,0.7603367,0.6667224,0.6504548,0.2713852,0.7550978,0.6398963,0.0838809,0.2519114,0.703671,0.5321717,0.6108529,416.66650000000004
0.7359734,0.7291706,0.6398389,0.6968658,0.61011,0.6256159,0.5864861,0.7187049,0.7856863,0.5894439,0.6775042,0.0628043,0.116641,0.7158337,0.5345622,0.0013118,0.72494,0.6042053,0.6447332,0.0075693,0.7231247,0.096801,0.6435659,0.498357,0.0705825,0.0509542,0.6286133,0.7034446,0.7018047,0.7008995,0.6002564,0.5605475,0.5805458,0.1177599,0.0716997,0.0282492,0.3125674,0.1343412,0.5918059,0.6670995,0.5159123,0.6361708,0.1403714,0.682973,0.743837,0.0308206,0.410495,0.7703051,0.6387756,0.7591986,583.3335
0.5817705,0.73191,0.757599,0.6908665,0.7676773,0.6142007,0.5382394,0.6776739,0.7497183,0.5459728,0.6675724,0.0847669,0.0760247,0.6419876,0.5973632,0.0002108,0.6349284,0.6570737,0.7876872,0.0055411,0.6434444,0.0554721,0.6814304,0.7339144,0.0959513,0.0163096,0.4889729,0.6722722,0.6895087,0.6470793,0.6779889,0.5545306,0.6230322,0.1693629,0.0604308,0.0477123,0.3580261,0.1658687,0.4557546,0.5924562,0.4342681,0.5510547,0.2269177,0.8402433,0.5533187,0.0102088,0.6078996,0.6621819,0.5901122,0.7562147,583.3335
0.7714444,0.5899249,0.5857447,0.6947313,0.7171345,0.6690548,0.4861214,0.702045,0.7881051,0.6536269,0.5438036,0.0565455,0.0976349,0.7208124,0.5153377,0.0002976,0.6019542,0.6360452,0.6535481,0.0001732,0.5888881,0.0659257,0.7272924,0.6968953,0.0612271,0.0372924,0.5364665,0.7318209,0.5714465,0.6596577,0.6877647,0.6040985,0.6570537,0.1329654,0.0848491,0.0221832,0.4847494,0.1944899,0.4155346,0.4656192,0.3733396,0.4611082,0.2361241,0.7645636,0.7138094,0.0089927,0.6794791,0.6914483,0.7064724,0.7906679,583.3335
0.522622,0.622072,0.7519282,0.6605695,0.820145,0.6166587,0.5282313,0.6160547,0.6389557,0.4928357,0.5896505,0.0567402,0.0725742,0.6806169,0.6003027,0.0008053,0.7640783,0.6214077,0.6874264,0.0001127,0.6379882,0.0693992,0.831463,0.7006672,0.1436731,0.025983,0.5124747,0.7330464,0.506458,0.6964418,0.6009541,0.7358829,0.5625429,0.1698195,0.0695592,0.0240189,0.3270143,0.2103041,0.3741312,0.3693724,0.3217399,0.3594871,0.310968,0.5693152,0.7892581,0.0034886,0.70541,0.6991662,0.6060245,0.6503771,758.3335
0.7352708,0.7756078,0.77743,0.7241424,0.6562135,0.6605226,0.4886039,0.6584377,0.7521439,0.5730213,0.729546,0.0860699,0.1651715,0.6634686,0.5552576,0.0033505,0.7417905,0.765101,0.6461463,7.86e-05,0.7177955,0.0291232,0.754112,0.7129306,0.0691395,0.0462262,0.5529534,0.7367621,0.4195425,0.6717075,0.7935618,0.5749183,0.6413086,0.3174838,0.1185631,0.025453,0.3263238,0.1983266,0.2284326,0.3536112,0.3063733,0.425497,0.4453698,0.7326603,0.7547476,0.000994,0.6819684,0.6956552,0.6618777,0.5909488,758.3335
0.6484396,0.5993135,0.7725849,0.6621588,0.5400055,0.6636038,0.470946,0.8416937,0.6167483,0.6200637,0.8409299,0.1091352,0.1197079,0.7059821,0.6187542,0.0030644,0.7707881,0.6351959,0.6440281,9.21e-05,0.6649226,0.0749025,0.6016069,0.5604276,0.0729892,0.036678,0.673206,0.6975591,0.5000791,0.7124271,0.6962379,0.630835,0.553817,0.1564915,0.1792389,0.0955239,0.3912649,0.1522575,0.2281975,0.2422248,0.3584338,0.4134151,0.3711565,0.7572687,0.6908312,0.0010704,0.7182467,0.7197086,0.6205826,0.6438479,758.3335
0.6907948,0.788634,0.6496943,0.7725136,0.774044,0.7988807,0.6224502,0.7525618,0.5885807,0.694207,0.7207101,0.0949945,0.1285771,0.7057926,0.5102948,0.0161614,0.6510235,0.7254914,0.6526335,5.44e-05,0.6866955,0.0273577,0.7560861,0.7246934,0.0916367,0.0229031,0.5550653,0.7916694,0.5673989,0.6438936,0.6476768,0.5551936,0.490102,0.0856832,0.1535969,0.0163909,0.3589145,0.160216,0.2578673,0.3757339,0.3007425,0.4595644,0.2739912,0.7158698,0.7007147,0.0094527,0.6800688,0.6539545,0.6326,0.7824328,758.3335
0.5941614,0.6354513,0.6126031,0.7342109,0.7254927,0.7396567,0.5543293,0.6997654,0.5361469,0.513181,0.6550672,0.038188,0.0929138,0.5778077,0.5416218,0.0035299,0.7491479,0.6116363,0.6671844,1.54e-05,0.629477,0.0440294,0.7111039,0.7146465,0.0607559,0.044144,0.657237,0.8136781,0.7154984,0.6253433,0.7244355,0.666189,0.6626802,0.2080511,0.1108612,0.0641725,0.3881955,0.1707411,0.3046025,0.2672663,0.3515204,0.3653167,0.325351,0.8758761,0.8039962,0.0148865,0.6922412,0.6523442,0.6207788,0.589196,925.0
0.7083214,0.6056797,0.5093195,0.6680891,0.7897604,0.682499,0.573565,0.6553287,0.5427855,0.614866,0.6684943,0.0852599,0.1213486,0.5976489,0.5781056,0.006331,0.6848168,0.7383013,0.5987055,0.0020874,0.625228,0.0437429,0.6868483,0.632483,0.1018054,0.0579233,0.5651952,0.7842279,0.5449592,0.6530749,0.724068,0.5725035,0.4941149,0.200359,0.0554269,0.0122733,0.3506701,0.2407036,0.2763614,0.3873815,0.3185332,0.3403055,0.4234256,0.6154764,0.8163506,0.0063232,0.5993109,0.7334044,0.6968273,0.6580083,925.0
0.6506631,0.6933699,0.5721714,0.6677762,0.6978418,0.6348654,0.6710219,0.6342879,0.5755534,0.5525355,0.7474518,0.0739125,0.0734092,0.6713752,0.5750906,0.0018647,0.7452039,0.7413059,0.5494539,0.0013248,0.6114174,0.0687428,0.6923067,0.7244927,0.0929208,0.0848576,0.5360682,0.778222,0.5174693,0.7416347,0.7359828,0.6033771,0.5962214,0.1790846,0.0732017,0.0467337,0.305621,0.2527412,0.245626,0.4182907,0.3878512,0.3421165,0.4108143,0.6966244,0.7768047,0.0034342,0.7777312,0.6784062,0.5423217,0.6813109,925.0
0.7056021,0.6817785,0.7204892,0.727917,0.7993839,0.6447198,0.5523393,0.7439714,0.6526553,0.601671,0.7570943,0.0792337,0.1535299,0.6424758,0.6130999,0.0015105,0.8025756,0.5957433,0.7763374,1.12e-05,0.714506,0.0339654,0.7932474,0.6735314,0.1031381,0.0446081,0.6091664,0.5811429,0.5927605,0.807502,0.6538188,0.7691984,0.6676702,0.1858593,0.1329193,0.0333176,0.3735365,0.1751163,0.153437,0.2531379,0.2335957,0.3334904,0.3328489,0.7489664,0.7143176,0.0005645,0.6163867,0.5427806,0.6744198,0.7639988,74.9995
0.7046635,0.5792886,0.6160759,0.5793264,0.6208165,0.5407623,0.5867419,0.7070418,0.6779879,0.6946528,0.659682,0.0698065,0.170404,0.7652241,0.5056997,0.183183,0.7052825,0.7720919,0.8189891,6.3e-06,0.7174192,0.059678,0.7157405,0.3559944,0.0976449,0.005237,0.6186304,0.6492265,0.2094732,0.6676119,0.6393197,0.6770537,0.6086659,0.2124041,0.235928,0.0127014,0.3316003,0.1650264,0.3196447,0.3027166,0.0995927,0.2942902,0.3198656,0.6388536,0.7581491,0.0011221,0.7338451,0.6653926,0.5896064,0.3539393,74.9995
0.6577761,0.5874714,0.5827847,0.6203625,0.6200951,0.5350704,0.6495276,0.711855,0.6735682,0.5988386,0.7612087,0.1160606,0.1315458,0.5834751,0.5526057,0.2308131,0.7066818,0.7446664,0.5992843,1.75e-05,0.6539393,0.0440735,0.6980437,0.3121136,0.0606749,0.0105786,0.6712829,0.7049417,0.1287177,0.7789005,0.6130601,0.6132469,0.5189238,0.358758,0.1230994,0.0025044,0.3726049,0.205441,0.3011167,0.4506667,0.0944817,0.438161,0.3309379,0.7023498,0.665327,0.0032135,0.6973431,0.7747769,0.7435602,0.1944659,74.9995
